iteration	score	total_return_pct	max_dd_pct	dd_violated	wr_violated	total_trades	win_rate	sharpe	pf	delta	status	description
448	0.43	0.61	29.96	False	False	119	40.34	1.6971	0.5698	0.0	DISCARD	BULL_WEIGHT_TREND 0.3->0.35
449	0.39	0.56	29.96	False	False	123	41.46	1.6917	0.5665	-0.04	DISCARD	BULL_WEIGHT_BB 0.05->0.15
450	0.39	0.56	29.96	False	False	125	38.4	1.7398	0.4955	-0.04	DISCARD	BEAR_WEIGHT_RSI 0.1->0.15
451	0.42	0.6	29.96	False	False	119	36.97	1.5613	0.4642	-0.01	DISCARD	BULL_RSI_OVERBOUGHT 80->60
452	-1.01	-1.44	29.97	False	False	122	39.34	1.6532	0.5393	-1.44	DISCARD	VOLUME_SURGE_THRESHOLD 3.0->1.5
453	0.43	0.61	29.96	False	False	119	40.34	1.6971	0.5698	0.0	DISCARD	BREAKOUT_LOOKBACK 48->36
454	0.43	0.61	29.96	False	False	119	40.34	1.6983	0.5655	0.0	DISCARD	BULL_TP_ATR_MULT 2.0->6.0
455	0.43	0.61	29.96	False	False	119	40.34	1.6971	0.5698	0.0	DISCARD	MIN_ATR_THRESHOLD 5.0->4.0
456	0.43	0.61	29.96	False	False	119	40.34	1.6971	0.5698	0.0	DISCARD	SIDE_STOP_ATR_MULT 2.0->1.5
457	0.0	0.0	0.0	False	True	0	0	0.0	0	-0.43	DISCARD	CUSUM_ENTRY_ENABLED False->True
458	0.43	0.61	29.96	False	False	119	40.34	1.6971	0.5698	0.0	DISCARD	VOL_EXTREME_THRESHOLD_PCT 3.0->2.5
459	0.43	0.61	29.96	False	False	119	40.34	1.6971	0.5698	0.0	DISCARD	BEAR_TRAILING_START_R 0.8->2.5
460	0.43	0.61	29.96	False	False	119	40.34	1.6971	0.5698	0.0	DISCARD	SIDE_RSI_OVERBOUGHT 60->70
461	-0.13	-0.2	32.07	False	False	179	46.93	1.9274	0.8148	-0.56	DISCARD	VIX_TIER_1 16.0->12.0
462	0.65	0.93	29.94	False	False	86	37.21	1.5266	0.4998	0.22	BELOW_THRESHOLD	BULL_COMPOSITE_THRESHOLD 0.35->0.45
463	0.43	0.61	29.96	False	False	119	40.34	1.6971	0.5698	0.0	DISCARD	RISKOFF_STOP_TIGHTEN_MULT 0.8->0.7
464	-1.09	-2.03	46.54	False	False	171	41.52	3.2764	0.8162	-1.52	DISCARD	REGIME_VIX_WEIGHT 0.0->0.4
465	0.43	0.61	29.96	False	False	119	40.34	1.6971	0.5698	0.0	DISCARD	BEAR_TRAILING_ATR_MULT 0.8->1.5
466	-0.89	-1.43	37.55	False	False	123	38.21	1.8274	0.5159	-1.32	DISCARD	SENTIMENT_THRESHOLD_BOOST 0.05->0.1
467	0.43	0.61	29.96	False	False	119	40.34	1.6971	0.5698	0.0	DISCARD	SIDE_STOP_ATR_MULT 2.0->2.5
468	0.43	0.61	29.96	False	False	119	40.34	1.6971	0.5698	0.0	DISCARD	SIDE_STOP_ATR_MULT 2.0->1.8
469	0.44	0.63	29.96	False	False	117	41.03	1.6842	0.5868	0.01	BELOW_THRESHOLD	DAILY_TREND_GATE False->True
470	0.43	0.61	29.96	False	False	119	40.34	1.6971	0.5698	0.0	DISCARD	REGIME_NLP_WEIGHT 0.25->0.2
471	0.43	0.61	29.96	False	False	119	40.34	1.6971	0.5698	0.0	DISCARD	GARCH_VOL_INCREASE_SCALE 1.2->1.1
472	0.43	0.61	29.96	False	False	119	40.34	1.6971	0.5698	0.0	DISCARD	SENTIMENT_SIGNAL_WEIGHT 0.15->0.0
473	0.43	0.61	29.96	False	False	119	40.34	1.6971	0.5698	0.0	DISCARD	SIDE_RSI_OVERSOLD 20->25
474	-0.41	-0.78	47.72	False	False	162	38.89	2.9846	0.487	-0.84	DISCARD	DIGEST_CONTEXT_BOOST 0.05->0.15
475	0.27	0.39	29.99	False	False	134	35.07	1.9844	0.4532	-0.16	DISCARD	BEAR_WEIGHT_RSI 0.1->0.25
476	0.43	0.61	29.96	False	False	119	40.34	1.6971	0.5698	0.0	DISCARD	ADAPTIVE_TP_RSI_REVERSAL_SCALE 1.3->2.0
477	-0.87	-1.23	29.77	False	False	111	41.44	1.5083	0.6093	-1.3	DISCARD	COPPER_FALLING_SHORT_BOOST 0.1->0.05
478	0.43	0.61	29.96	False	False	119	40.34	1.6971	0.5698	0.0	DISCARD	SIDE_RISK_MULT 0.5->1.2
479	0.43	0.61	29.96	False	False	119	40.34	1.6971	0.5698	0.0	DISCARD	SIDE_WEIGHT_MOMENTUM 0.2->0.25
480	-0.22	-0.36	39.73	False	False	183	39.89	2.1802	0.6183	-0.65	DISCARD	BULL_WEIGHT_MOMENTUM 0.13->0.25
481	0.41	0.59	29.96	False	False	120	40.0	1.7224	0.5657	-0.02	DISCARD	MIN_VOLUME_THRESHOLD 50->25
482	0.12	0.18	34.42	False	False	123	42.28	2.0237	0.7557	-0.31	DISCARD	REGIME_VIX_WEIGHT 0.0->0.2
483	0.43	0.61	29.96	False	False	119	40.34	1.6971	0.5698	0.0	DISCARD	SIDE_STOP_ATR_MULT 2.0->1.0
484	0.43	0.61	29.96	False	False	119	40.34	1.6971	0.5698	0.0	DISCARD	RISKOFF_STOP_TIGHTEN_MULT 0.8->0.6
485	0.33	0.47	29.97	False	False	128	37.5	1.7042	0.4739	-0.1	DISCARD	TSFRESH_SIGNAL_WEIGHT 0.0->0.2
486	0.43	0.61	29.96	False	False	119	40.34	1.6971	0.5698	0.0	DISCARD	VIX_TIER_4 35.0->28.0
487	0.44	0.62	29.96	False	False	119	39.5	1.6966	0.5308	0.01	BELOW_THRESHOLD	BEAR_RSI_OVERBOUGHT 75->70
488	0.43	0.61	29.96	False	False	119	40.34	1.6971	0.5698	0.0	DISCARD	GARCH_VOL_DECREASE_SCALE 0.85->0.8
489	0.43	0.61	29.96	False	False	119	40.34	1.6971	0.5698	0.0	DISCARD	REGIME_NLP_WEIGHT 0.25->0.0
